hour,weight,q_act,p_act,wind1,wind2
178,79,14650.91,58.38306,12847.38,11043.85
179,75,14888.56,65.16638,13507.75,12126.95
180,89,15088.92,69.19646,13656.95,12224.98
181,75,15309.81,67.45071,13932.37,12554.93
182,65,15521.56,62.63079,13574.6,11627.63
183,44,15744.77,68.69107,14500.18,13255.59
184,34,15987.27,71.60025,14643.94,13300.6
185,32,16208.33,83.72768,15151.24,14094.15
186,37,16391.6,56.9045,15233.51,14075.42
187,28,16628.16,77.25182,15178.96,13729.77
188,27,16830.64,61.7851,15934.65,15038.66
189,18,17068.4,69.45887,16105.58,15142.76
190,11,17250.22,89.03333,16416.49,15582.77
191,14,17507.87,58.85744,16092.04,14676.21
192,6,17710.89,70.83026,16170.5,14630.12
193,10,17934.4,53.2268,15637.62,13340.84
194,5,18159.9,64.75596,16752.06,15344.22
195,6,18371.74,54.49699,17506.05,16640.37
196,5,18598.42,40.38553,18030.46,17462.5
197,4,18745.85,36.1067,18251.37,17756.9
198,4,18975.64,76.93379,18744.16,18512.69
199,5,19241.01,60.25957,18862.17,18483.33
200,3,19533.23,65.65689,19249.49,18965.76
